U2UT Model Training 

Baseline parameters

d_model = 512, num_layers (encoder) = 6,  num_layers (decoder) = 2, d_ff = 1024
n_heads = 4, kernel_size = 31, dropout = 0.1, input_dim = 512, vocab_size = 500,
hidden_size = 512, pos_encoding = True (Self Attention), False (Cross Attention), 
rnn_dim = 512 (LSTM based), Adam optimizer, lr = 1e-4, cross enthropy loss function,
batch_size = 16, shuffle = True, Total epochs = 26; synthesizer = LSTM based

seed = 42; sequence_len = 600; 

Note all others have head set to 4 except otherwise

a - f ---> Ablation studies Part A                                                                                                 g - h ---> Ablation studies Part B
                     a                b                 c                  d                    e                   f                         g                       h
                  joint full                         joint full        joint full           joint full           PE = False     |       with GRU Based           with GRU Based
epochs        MHSA with h = 4    Without FF        MHSA with h = 8     MHSA with h = 2      MHSA with h = 1      without PE             Phoneme Decoder          Phoneme Decoder
                                    h = 4                                                                                                h = 4 (joint)            h = 2 (joint)                                                       
                                                   
VL epoch 18     5.1201             5.1256            5.2561              4.9748                5.1128              5.0936                  3.3318                    3.4956
VA epoch 18     0.0674             0.0614            0.0555              0.0729                0.0616              0.0663                  0.3382                    0.3023
  

TL epoch 19     4.6919             4.6953            4.8247              4.5323                4.6658              4.6434                  2.8851                    4.1587
TA epoch 19     0.1137             0.1057            0.0922              0.1289                0.1102              0.1156                  0.4343                    0.2655
VL epoch 19     5.0237             5.0298            5.1513              4.8662                4.9991              4.9682                  3.1833                    3.6613
VA epoch 19     0.0731             0.0757            0.0578              0.0880                0.0742              0.0821                  0.3722                    0.2934


TL epoch 20     4.5886             4.5860            4.7180              4.4168                4.5522              4.5210                  2.7503                    4.2609
TA epoch 20     0.1288             0.1175            0.1036              0.1393                0.1261              0.1293                  0.4630                    0.2538
VL epoch 20     4.9240             4.9159            5.0451              4.7539                4.8889              4.8512                  3.0453                    3.8684
VA epoch 20     0.0801             0.0816            0.0709              0.0956                0.0835              0.0931                  0.3972                    0.2806


TL epoch 21     4.4805             4.4695            4.6086              4.3073                4.4450              4.3991                  2.6181                    5.4053
TA epoch 21     0.1391             0.1309            0.1206              0.1477                0.1367              0.1469                  0.4919                    0.0684
VL epoch 21     4.8268             4.8025            4.9394              4.6494                4.7943              4.7472                  2.9108                    5.6414
VA epoch 21     0.0855             0.0840            0.0854              0.1039                0.0930              0.1007                  0.4273                    0.0159 


TL epoch 22     4.3817             4.3561            4.4971              4.2032                4.3499              4.2870                  2.4915                    5.3693
TA epoch 22     0.1478             0.1407            0.1342              0.1596                0.1506              0.1603                  0.5191                    0.0393
VL epoch 22     4.7224             4.7030            4.8271              4.5554                4.7040              4.6321                  2.7670                    5.6109
VA epoch 22     0.0947             0.0893            0.0973              0.1101                0.0968              0.1081                  0.4562                    0.0156


TL epoch 23     4.2745             4.2530            4.3843              4.1102                4.2583              4.1780                  2.3567                    5.3572
TA epoch 23     0.1615             0.1525            0.1494              0.1734                0.1605              0.1733                  0.5486                    0.0401
VL epoch 23     4.6239             4.6036            4.7258              4.4668                4.6133              4.5358                  2.6307                    5.6109
VA epoch 23     0.1086             0.0951            0.1064              0.1225                0.1102              0.1180                  0.4948                    0.0157 


TL epoch 24     4.1814             4.1527            4.2908              4.0217                4.1736              4.0816                  2.2391                    5.3527
TA epoch 24     0.1733             0.1623            0.1596              0.1853                0.1729              0.1858                  0.5782                    0.0405
VL epoch 24     4.5295             4.5117            4.6298              4.3748                4.5319              4.4372                  2.5084                    5.6001
VA epoch 24     0.1183             0.1011            0.1132              0.1329                0.1221              0.1311                  0.5301                    0.0163


TL epoch 25     4.0929             4.0657            4.2007              3.9393                4.0896              3.9901                  2.1574                    5.3493
TA epoch 25     0.1841             0.1737            0.1718              0.1955                0.1860              0.1961                  0.6030                    0.0405
VL epoch 25     4.4495             4.4256            4.5490              4.2952                4.4553              4.3480                  2.3853                    5.6030
VA epoch 25     0.1220             0.1096            0.1173              0.1439                0.1291              0.1370                  0.5663                    0.0165


TL epoch 26     4.0177             3.9802            4.1162              3.8612                4.0171              3.9025                  2.5174                    5.3469
TA epoch 26     0.1913             0.1848            0.1831              0.2068                0.1951              0.2045                  0.5484                    0.0409
VL epoch 26     4.3768             4.3415            4.4658              4.2287                4.3798              4.2672                  2.3991                    5.6063
VA epoch 26     0.1354             0.1208            0.1263              0.1503                0.1385              0.1443                  0.5704                    0.0167





===================================================================================================================================================================================
05/09/2026

PART B [Continue]



epochs             i                 j                    k                           l                               m                   n                      o
              with GRU Based     with GRU Based    with GRU Based                with GRU Based              with GRU Based          with GRU Based          with GRU Based        convmod
              Phoneme Decoder    Phoneme Decoder   Phoneme Decoder              Phoneme Decoder              Phoneme Decoder         Phoneme Decoder         Phoneme Decoder       removed
              h = 8 (joint)      h = 1 (joint)    conformer block[2]removed   conformer block[3,5]removed   confomerblok = 4       MHSA = 4; MHCA = 2     gru based syhtnesiser    same set
                                                   joint h = 4                     joint h = 4               decoderblok = 1         CE = 4; PD = 1         MHSA = 4; MHCA = 2     up as o
                                                                                                                 h = 4                                       CE = 4; PD = 1
                                                                                                                                                                                  working on                          
TL epoch 1       5.7861             5.8088           5.8048                              5.8203                5.7875                   5.7711                  5.5910             5.5829   
TA epoch 1       0.0345             0.0377           0.0379                              0.0342                0.0693                   0.0586                  0.1024             0.0841
VL epoch 1       5.6529             5.6730           5.6681                              5.6722                5.5687                   5.5801                  5.4270             5.4183
VA epoch 1       0.0111             0.0111           0.0111                              0.0111                0.0547                   0.0407                  0.0824             0.0850

TL epoch 2       5.3349             5.3512           5.3644                              5.3522                5.0798                   5.1099                  4.7065             4.6803
TA epoch 2       0.0415             0.0409           0.0373                              0.0402                0.1198                   0.1207                  0.2041             0.2079
VL epoch 2       5.5540             5.5794           5.5817                              5.5706                5.3031                   5.3487                  4.6733             4.6713
VA epoch 2       0.0326             0.0331           0.0321                              0.0328                0.0870                   0.0942                  0.2167             0.2159


TL epoch 3       5.1517             5.2012           5.2086                              5.1884                4.8006                   4.8541                  3.7610             3.7867
TA epoch 3       0.0634             0.0629           0.0591                              0.0628                0.1745                   0.1591                  0.3757             0.3671
VL epoch 3       5.4058             5.4584           5.4591                              5.4484                5.0758                   5.1338                  3.7322             3.7929
